time	TGF_beta_ex	T1R_surf	T1R_endo	T2R_surf	T2R_endo	LRC_surf	LRC_endo	Smad2c	Smad2n	Smad4c	Smad4n	PSmad2c	PSmad2_PSmad2_c	PSmad2_Smad4_c	PSmad2n	PSmad2_PSmad2_n	PSmad2_Smad4_n	TGF_beta_endo	TGF_beta_ns	AA	empty_degraded
41.584158415841586	1.5416717887472836e-10	1.6837318046981946e-11	6.312975708796334e-11	1.532760569479366e-11	4.684888040041323e-11	1.9943744949892923e-12	4.2490568648019365e-12	9.434428727788094e-11	2.0814912839652343e-11	9.398223083687667e-11	4.183262607258881e-11	2.0710727039932204e-12	1.3399644862929573e-12	-1.0277115739320298e-12	4.191937607335875e-12	6.059045783861966e-12	3.2677103758036526e-11	4.420661171588027e-13	3.7817659057929676e-12	0.0	0.0
42.57425742574257	1.5691946100408563e-10	1.6899359078131034e-11	6.561904271710278e-11	1.5335793042562944e-11	4.87437944866277e-11	1.6322885240838462e-12	3.689927396029867e-12	9.771230578401769e-11	2.1349017736574467e-11	9.553748135284561e-11	4.235358317459865e-11	1.8392573561209944e-12	1.2012155276179033e-12	-1.112424813224359e-12	3.904808585317825e-12	5.544308994048789e-12	3.068560937618434e-11	3.931833157653788e-13	3.851660567592443e-12	0.0	0.0
43.56435643564356	1.596717431334429e-10	1.6961400109280122e-11	6.810832834624222e-11	1.534398039033223e-11	5.0638708572842164e-11	1.270202553178402e-12	3.130797927257799e-12	1.0108032429015442e-10	2.1883122633496588e-11	9.709273186881454e-11	4.287454027660849e-11	1.607442008248769e-12	1.06246656894285e-12	-1.1971380525166873e-12	3.617679563299776e-12	5.029572204235614e-12	2.869411499433217e-11	3.443005143719552e-13	3.9215552293919185e-12	0.0	0.0
44.554455445544555	1.6242402526280018e-10	1.7023441140429208e-11	7.059761397538164e-11	1.5352167738101514e-11	5.2533622659056614e-11	9.081165822729573e-13	2.5716684584857317e-12	1.0444834279629117e-10	2.2417227530418708e-11	9.864798238478346e-11	4.3395497378618336e-11	1.3756266603765445e-12	9.237176102677968e-13	-1.2818512918090158e-12	3.3305505412817277e-12	4.5148354144224396e-12	2.670262061248e-11	2.9541771297853157e-13	3.991449891191394e-12	0.0	0.0
45.54455445544554	1.6517630739215747e-10	1.7085482171578296e-11	7.30868996045211e-11	1.5360355085870803e-11	5.442853674527109e-11	5.460306113675104e-13	2.01253898971366e-12	1.0781636130242792e-10	2.2951332427340835e-11	1.0020323290075239e-10	4.391645448062818e-11	1.1438113125043182e-12	7.849686515927426e-13	-1.3665645311013452e-12	3.043421519263676e-12	4.0000986246092625e-12	2.4711126230627818e-11	2.4653491158510757e-13	4.06134455299087e-12	0.0	0.0
46.53465346534654	1.6792858952151475e-10	1.7147523202727384e-11	7.557618523366052e-11	1.5368542433640088e-11	5.632345083148555e-11	1.839446404620655e-13	1.453409520941593e-12	1.1118437980856467e-10	2.348543732426296e-11	1.0175848341672132e-10	4.4437411582638024e-11	9.11995964632093e-13	6.462196929176892e-13	-1.4512777703936737e-12	2.7562924972456275e-12	3.485361834796088e-12	2.271963184877565e-11	1.9765211019168392e-13	4.131239214790346e-12	0.0	0.0
47.524752475247524	1.7068087165087205e-10	1.7209564233876473e-11	7.806547086279996e-11	1.5376729781409373e-11	5.821836491770001e-11	-1.7814133044338144e-13	8.942800521695215e-13	1.1455239831470142e-10	2.4019542221185083e-11	1.0331373393269025e-10	4.4958368684647874e-11	6.801806167598665e-13	5.074707342426351e-13	-1.5359910096860026e-12	2.4691634752275764e-12	2.9706250449829107e-12	2.0728137466923467e-11	1.4876930879825997e-13	4.201133876589821e-12	0.0	0.0
48.51485148514851	1.7343315378022932e-10	1.727160526502556e-11	8.05547564919394e-11	1.5384917129178658e-11	6.011327900391448e-11	-5.402273013488257e-13	3.3515058339745455e-13	1.1792041682083815e-10	2.4553647118107207e-11	1.0486898444865916e-10	4.547932578665772e-11	4.483652688876419e-13	3.6872177556758184e-13	-1.6207042489783312e-12	2.1820344532095277e-12	2.4558882551697364e-12	1.87366430850713e-11	9.988650740483637e-14	4.2710285383892965e-12	0.0	0.0
49.504950495049506	1.761854359095866e-10	1.7333646296174646e-11	8.304404212107883e-11	1.5393104476947943e-11	6.200819309012894e-11	-9.023132722542702e-13	-2.2397888537461292e-13	1.212884353269749e-10	2.5087752015029328e-11	1.0642423496462808e-10	4.600028288866756e-11	2.1654992101541705e-13	2.2997281689252866e-13	-1.7054174882706597e-12	1.894905431191479e-12	1.941151465356562e-12	1.674514870321913e-11	5.1003706011412746e-14	4.340923200188772e-12	0.0	0.0
50.495049504950494	1.7893771803894386e-10	1.7395687327323735e-11	8.553332775021828e-11	1.5401291824717232e-11	6.390310717634341e-11	-1.2643992431597173e-12	-7.831083541466842e-13	1.2465645383311165e-10	2.562185691195145e-11	1.0797948548059701e-10	4.6521239990677406e-11	-1.526542685680947e-14	9.122385821747443e-14	-1.7901307275629888e-12	1.6077764091734285e-12	1.4264146755433844e-12	1.4753654321366948e-11	2.1209046179887827e-15	4.410817861988247e-12	0.0	0.0
