time	GTPgS_C	KCNQsites_M	PIP2_M	GGDPbS_M	ATP_C	oxoM_EX	GDPbS_C	GGTPMg_M	GDP_C	GGDPAlF4Mg_M	ip3_C	AlF4_C	G_M	GGTP_M	GGDPAlF4_M	GGTPgS_M	PI_M	PIP_M	PIP2xKCNQ_M	GGTPgSMg_M	GGDP_M	Mg2_C	GTP_C
30.0	0.0	21.469430498190068	906.0741565513673	0.0	2998.287679432663	8.631301467292289e-23	0.0	0.11163883292646644	0.2402481051636631	0.0	0.02045735670646046	0.0	0.0046672612548189	0.031775872503121784	0.0	0.0	199553.9110852338	520.7192624485787	18.53056950180987	0.0	200.06491803331923	2100.0	96.52582743885992
31.0	0.0	21.245864690371203	923.5278039589475	0.0	2998.24501616858	8.614121312192342e-23	0.0	0.11163882580162664	0.24044763114226006	0.0	0.020086735451842565	0.0	0.004665867315354201	0.031775870463680106	0.0	0.0	199539.0595771572	512.1488802080429	18.754135309628737	0.0	200.06491943642303	2100.0	96.55465858026687
32.0	0.0	21.03553591849481	940.3528172930603	0.0	2998.2028019676054	8.623307600509999e-23	0.0	0.11163881861593432	0.24064715712046417	0.0	0.01990497336595891	0.0	0.00466448576547126	0.0317758684398471	0.0	0.0	199524.20922693517	504.11160602945506	18.96446408150513	0.0	200.0649208271824	2100.0	96.58325046046839
33.0	0.0	20.837329562614848	956.5829624043495	0.0	2998.1610089105143	8.612549749043718e-23	0.0	0.11163881164420256	0.24084668309825605	0.0	0.019859691968469637	0.0	0.0046631164880381855	0.031775866431392165	0.0	0.0	199509.36003393622	496.57640042734664	19.162670437385092	0.0	200.06492220544	2100.0	96.61160506502323
34.0	0.0	20.650232389564593	972.2501066287392	0.0	2998.119610704136	8.590435350492117e-23	0.0	0.11163880464827519	0.24104620907561616	0.0	0.019912315704173313	0.0	0.004661759367162836	0.03177586443820411	0.0	0.0	199494.51199756254	489.5140177780572	19.349767610435347	0.0	200.06492357155	2100.0	96.6397243630125
35.0	0.0	20.473327209561475	987.384328890162	0.0	2998.078582586996	8.589089726611145e-23	0.0	0.11163879756202379	0.24124573505252522	0.0	0.02003439647844113	0.0	0.0046604142881607885	0.03177586246013499	0.0	0.0	199479.665117248	482.8969024938501	19.526672790438464	0.0	200.06492492569333	2100.0	96.66761030717659
36.0	0.0	20.305785030618413	1002.0140196359481	0.0	2998.0379012412213	8.591796267281208e-23	0.0	0.11163879060964504	0.24144526102896427	0.0	0.02020507370474839	0.0	0.004659081137538246	0.03177586049697116	0.0	0.0	199464.81939245635	476.69909207734537	19.694214969381527	0.0	200.0649262677595	2100.0	96.69526483405055
37.0	0.0	20.146857081272262	1016.1659750784299	0.0	2997.9975447090437	8.590219902200845e-23	0.0	0.11163878374919499	0.24164478700491443	0.0	0.020409084973039896	0.0	0.004657759802990677	0.031775858548562644	0.0	0.0	199449.97482267956	470.8961252224866	19.853142918727677	0.0	200.0649275979029	2100.0	96.72268986409878
38.0	0.0	19.995866992612395	1029.8654859057706	0.0	2997.9574923139835	8.589432704465206e-23	0.0	0.11163877690847333	0.24184431298035697	0.0	0.020635258001997683	0.0	0.004656450173383258	0.03177585661476861	0.0	0.0	199435.13140743598	465.46495504631235	20.004133007387544	0.0	200.06492891630705	2100.0	96.74988730184828
39.0	0.0	19.85220316805876	1043.1364203520036	0.0	2997.9177245868086	8.590493772368336e-23	0.0	0.11163877013568693	0.24204383895527332	0.0	0.02087545177606686	0.0	0.004655152138732817	0.03177585469542218	0.0	0.0	199420.289146269	460.3838675663741	20.14779683194118	0.0	200.06493022303385	2100.0	96.77685903602091
40.0	0.0	19.715311759409477	1056.0013027917846	0.0	2997.878223195684	8.590778113240386e-23	0.0	0.11163876342292064	0.24224336492964513	0.0	0.021123771153379774	0.0	0.0046538655901984475	0.03177585279037137	0.0	0.0	199405.4480387454	455.6324047687224	20.284688240590462	0.0	200.06493151820024	2100.0	96.80360693966462
41.0	0.0	19.58469051607692	1068.4813878343691	0.0	2997.838970880737	8.58948821452502e-23	0.0	0.1116387567537003	0.2424428909034542	0.0	0.021375985062817546	0.0	0.004652590420066681	0.03177585089946814	0.0	0.0	199390.60808445417	451.1912925256483	20.41530948392302	0.0	200.0649328019305	2100.0	96.83013287028346
42.0	0.0	19.459883138793693	1080.5967312186422	0.0	2997.799951391667	8.58729183918283e-23	0.0	0.11163875013120088	0.24264241687668242	0.0	0.021629067552899162	0.0	0.00465132652173732	0.03177584902256171	0.0	0.0	199375.76928300498	447.04237184978405	20.540116861206247	0.0	200.06493407432822	2100.0	96.85643866996664
43.0	0.0	19.34047427900811	1092.3662572141175	0.0	2997.7611494287444	8.585838075420882e-23	0.0	0.11163874355796001	0.24284194284931201	0.0	0.021880858874078087	0.0	0.004650073789710633	0.031775847159503316	0.0	0.0	199360.93163402722	443.1685338796953	20.65952572099183	0.0	200.06493533549656	2100.0	96.88252616551632
44.0	0.0	19.226085263569114	1103.8078212964856	0.0	2997.722550588288	8.585532884008596e-23	0.0	0.11163873703212042	0.24304146882132519	0.0	0.022129858443415085	0.0	0.004648832119574415	0.03177584531014698	0.0	0.0	199346.0951371687	439.5536597761319	20.773914736430825	0.0	200.0649365855419	2100.0	96.90839716857467
45.0	0.0	19.116370310611536	1114.9382694491344	0.0	2997.684141311306	8.58573483835849e-23	0.0	0.11163873055334621	0.2432409947927044	0.0	0.02237506799474857	0.0	0.004647601407990947	0.031775843474348156	0.0	0.0	199331.25979209456	436.1825640985023	20.883629689388403	0.0	200.06493782456803	2100.0	96.9340534757495
46.0	0.0	19.011013181556294	1125.7734950037404	0.0	2997.6459088345064	8.585829053979845e-23	0.0	0.11163872412328378	0.24344052076343226	0.0	0.02261584794929078	0.0	0.004646381552684214	0.03177584165196365	0.0	0.0	199316.4255984863	433.04094078800074	20.988986818443646	0.0	200.0649390526758	2100.0	96.9594968687391
47.0	0.0	18.909724137294706	1136.328492614069	0.0	2997.6078411438975	8.58571046305974e-23	0.0	0.11163871774171961	0.24364004673349154	0.0	0.022851803451635004	0.0	0.004645172452427521	0.03177583984285235	0.0	0.0	199301.59255604082	430.11531200295644	21.090275862705234	0.0	200.06494026996677	2100.0	96.98472911445602
48.0	0.0	18.812237284951213	1146.617409082284	0.0	2997.569926931285	8.585576964214953e-23	0.0	0.11163871140658647	0.2438395727028651	0.0	0.0230827126826793	0.0	0.004643974007031083	0.03177583804687536	0.0	0.0	199286.76066446948	427.3929801367669	21.187762715048727	0.0	200.06494147654328	2100.0	97.00975196514966
49.0	0.0	18.718308267179086	1156.653591182516	0.0	2997.5321555535015	8.585556170813894e-23	0.0	0.1116387051166717	0.24403909867153603	0.0	0.023308483995604406	0.0	0.004642786117329808	0.0317758362638952	0.0	0.0	199271.92992349732	424.8619828441785	21.281691732820853	0.0	200.06494267250585	2100.0	97.03456715852806
