time	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s119
34.65346534653465	1500000.0	2822125.87152163	160.20537500820092	6082.547488393819	0.0	10.541105602392115	-203.01562099381948	192.4745153914273	20906.280700374202	88672.69095420536	-103960.39603960366	34.65346534653465	-34.65346534653465	0.0
35.64356435643565	1500000.0	2821197.152106418	163.76787122236064	6210.793659853397	0.0	10.777237216515639	-213.80567993744492	203.02844272092923	21630.279293378477	91715.90013844236	-106930.69306930661	35.64356435643564	-35.64356435643564	0.0
36.633663366336634	1500000.0	2820206.6701638033	167.4603941528804	6343.417828355113	0.0	11.009852939950036	-224.82427177594747	213.81441883599734	22366.572136994615	94804.06957571092	-109900.99009900959	36.633663366336634	-36.633663366336634	0.0
37.62376237623762	1500000.0	2819153.0376324337	171.2809888874316	6480.318489924747	0.0	11.239005122682318	-236.06799376002112	224.82898863733874	23115.752064157692	97938.09795331614	-112871.28712871256	37.62376237623762	-37.62376237623762	0.0
38.613861386138616	1500000.0	2818034.9210777306	175.22734831671679	6621.381343793251	0.0	11.464745335232138	-247.5334938059338	236.06874847070162	23878.452233755877	101118.80215482625	-115841.58415841553	38.61386138613861	-38.61386138613861	0.0
39.603960396039604	1500000.0	2816851.0408562613	179.29680039279407	6766.479066381755	0.0	11.687124380262427	-259.217469740645	247.53034536038254	24655.349376785263	104346.91508830426	-118811.88118811851	39.603960396039604	-39.603960396039604	0.0
40.59405940594059	1500000.0	2815600.17021587	183.48630039457282	6915.471280245274	0.0	11.906192304004824	-271.11666855904326	259.21047625503843	25447.166508129587	107623.08391318911	-121782.17821782146	40.59405940594059	-40.59405940594059	0.0
41.584158415841586	1500000.0	2814281.134391067	187.79242904878151	7068.204746842359	0.0	12.121998407526618	-283.22788569165664	271.10588728413	26254.674996431317	110947.8686841416	-124752.4752475244	41.58415841584158	-41.58415841584158	0.0
42.57425742574257	1500000.0	2812892.809728726	192.21139811301876	7224.513829388861	0.0	12.334591257822007	-295.54796428392143	283.2133730260995	27078.695801791302	114321.74151921524	-127722.77227722737	42.57425742574257	-42.57425742574257	0.0
43.56435643564356	1500000.0	2811434.122874779	196.73906346291972	7384.221227770753	0.0	12.544018698749687	-308.073794485084	295.52977578633437	27920.099879235953	117745.08626168809	-130693.06930693031	43.56435643564356	-43.56435643564356	0.0
44.554455445544555	1500000.0	2809904.0500594685	201.3709476604055	7547.139042409303	0.0	12.750327861792753	-320.8023127487229	308.0519848869302	28779.80750080839	121218.19878629316	-133663.36633663328	44.55445544554455	-44.55445544554455	0.0
45.54455445544554	1500000.0	2808301.6165104904	206.10227142533716	7713.070140359734	0.0	12.95356517666934	-333.73050114318784	320.77693596651864	29658.78651124106	124741.28793282626	-136633.66336633626	45.54455445544554	-45.54455445544554	0.0
46.53465346534654	1500000.0	2806625.896014796	210.92799459491007	7881.809836413531	0.0	13.153776381780057	-346.8553866724298	333.70161029064974	30558.049430339106	128314.47711990228	-139603.96039603924	46.53465346534653	-46.53465346534653	0.0
47.524752475247524	1500000.0	2804876.0106479013	215.84286602926502	8053.147857991543	0.0	13.351006534501868	-360.17404060694935	346.8230340724475	31478.649393482767	131937.8066603432	-142574.25742574222	47.524752475247524	-47.524752475247524	0.0
48.51485148514851	1500000.0	2803051.130678833	220.84148161118696	8226.870557652595	0.0	13.54530002132829	-373.6835778246694	360.1382778033411	32421.674961791585	135611.23677556255	-145544.5544554452	48.51485148514851	-48.51485148514851	0.0
49.504950495049506	1500000.0	2801150.474652409	225.91834903788913	8402.763318939044	0.0	13.736700567858339	-387.38115616165163	373.64445559379334	33388.24386834802	139334.65129642008	-148514.85148514816	49.5049504950495	-49.5049504950495	0.0
50.495049504950494	1500000.0	2799173.309641911	231.06795762177842	8580.613086293224	0.0	13.925251248637132	-401.26397577246547	387.3387245238284	34379.49581758118	143107.8620114496	-151485.14851485114	50.495049504950494	-50.495049504950494	0.0
51.48514851485149	1500000.0	2797118.951656952	236.2848509831665	8760.210941352325	0.0	14.11099449684966	-415.3292785000856	401.21828400323596	35396.58449043213	146930.61360483995	-154455.44554455412	51.48514851485148	-51.48514851485148	0.0
52.475247524752476	1500000.0	2794986.766184108	241.56370027034325	8941.3546406573	0.0	14.293972113870396	-429.5743472551716	415.2803751413012	36440.66894256966	150802.58910665687	-157425.7425742571	52.475247524752476	-52.475247524752476	0.0
53.46534653465346	1500000.0	2792776.1688313186	246.89937545797812	9123.851029992591	0.0	14.474225278670648	-443.99650540458816	429.5222801259175	37512.90460675255	154723.41576044308	-160396.0396039601	53.46534653465346	-53.46534653465346	0.0
54.45544554455446	1500000.0	2790486.626042169	252.28701237280507	9307.518255336841	0.0	14.65179455708586	-458.59311616903176	443.94132161194585	38614.434123468105	158692.67120032146	-163366.33663366304	54.45544554455445	-54.45544554455445	0.0
