time	RuBP_ch	PGA_ch	ATP_ch	BPGA_ch	GAP_ch	Pi_ch	DHAP_ch	FBP_ch	F6P_ch	E4P_ch	X5P_ch	SBP_ch	S7P_ch	R5P_ch	Ru5P_ch	G6P_ch	ADP_ch	G1P_ch	x_CO2	x_NADPH_ch	x_Pi_cyt	x_GAP_cyt	x_NADP_ch	x_PGA_cyt	x_DHAP_cyt	x_Proton_ch	x_Starch_ch
20.0	0.3719616331567887	1.055060081331634	0.49742848117828625	0.07668709909585952	0.010057291287055299	0.7409349542768761	0.22125614430512835	0.015798841403635498	1.9245696355411548	0.7292879876507748	0.0022294262010600844	2.097671793861879	0.000981723880966274	0.0037341021157290513	0.0014936090554751797	4.426510232848708	0.0021215188217228224	0.2567375952982837	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
21.0	0.3719616331567847	1.0550600813317352	0.49742848117828603	0.07668709909585959	0.010057291287055473	0.7409349542770531	0.2212561443051322	0.015798841403636462	1.9245696355411657	0.7292879876507358	0.0022294262010601525	2.097671793861801	0.0009817238809662866	0.0037341021157291654	0.0014936090554752252	4.426510232848733	0.002121518821723036	0.25673759529828516	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
22.0	0.3719616331567807	1.0550600813318367	0.49742848117828586	0.07668709909585966	0.010057291287055648	0.7409349542772303	0.22125614430513604	0.015798841403637427	1.9245696355411765	0.7292879876506967	0.0022294262010602206	2.097671793861723	0.0009817238809662991	0.0037341021157292795	0.001493609055475271	4.4265102328487576	0.0021215188217232495	0.2567375952982866	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
23.0	0.37196163315677666	1.055060081331938	0.49742848117828564	0.07668709909585972	0.010057291287055821	0.7409349542774074	0.22125614430513987	0.01579884140363839	1.9245696355411872	0.7292879876506576	0.0022294262010602887	2.097671793861645	0.0009817238809663117	0.0037341021157293935	0.0014936090554753165	4.426510232848782	0.0021215188217234633	0.25673759529828805	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
24.0	0.37196163315677266	1.0550600813320392	0.4974284811782854	0.07668709909585979	0.010057291287055996	0.7409349542775846	0.22125614430514373	0.015798841403639356	1.924569635541198	0.7292879876506184	0.0022294262010603572	2.0976717938615668	0.0009817238809663243	0.003734102115729508	0.0014936090554753623	4.426510232848807	0.002121518821723677	0.2567375952982895	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
25.0	0.37196163315676867	1.0550600813321407	0.4974284811782852	0.07668709909585986	0.010057291287056172	0.7409349542777617	0.22125614430514756	0.01579884140364032	1.9245696355412087	0.7292879876505793	0.0022294262010604253	2.0976717938614886	0.0009817238809663369	0.003734102115729622	0.0014936090554754078	4.426510232848832	0.0021215188217238905	0.25673759529829093	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
26.0	0.3719616331567646	1.055060081332242	0.497428481178285	0.07668709909585991	0.010057291287056345	0.7409349542779389	0.2212561443051514	0.015798841403641288	1.9245696355412196	0.7292879876505403	0.0022294262010604934	2.0976717938614104	0.0009817238809663495	0.003734102115729736	0.0014936090554754536	4.426510232848857	0.0021215188217241043	0.2567375952982924	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
27.0	0.3719616331567606	1.0550600813323432	0.49742848117828475	0.07668709909585998	0.01005729128705652	0.740934954278116	0.22125614430515525	0.015798841403642253	1.9245696355412305	0.7292879876505012	0.0022294262010605615	2.0976717938613323	0.000981723880966362	0.00373410211572985	0.001493609055475499	4.426510232848882	0.002121518821724318	0.2567375952982938	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
28.0	0.37196163315675657	1.0550600813324444	0.4974284811782846	0.07668709909586005	0.010057291287056694	0.7409349542782931	0.22125614430515908	0.015798841403643217	1.9245696355412412	0.729287987650462	0.0022294262010606296	2.0976717938612546	0.0009817238809663746	0.0037341021157299642	0.0014936090554755449	4.426510232848907	0.0021215188217245315	0.25673759529829526	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
29.0	0.37196163315675257	1.055060081332546	0.49742848117828437	0.0766870990958601	0.010057291287056869	0.7409349542784702	0.2212561443051629	0.01579884140364418	1.924569635541252	0.7292879876504229	0.0022294262010606977	2.0976717938611764	0.0009817238809663872	0.0037341021157300783	0.0014936090554755904	4.426510232848932	0.0021215188217247453	0.2567375952982967	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
30.0	0.3719616331567486	1.0550600813326472	0.49742848117828414	0.07668709909586018	0.010057291287057043	0.7409349542786474	0.22125614430516677	0.015798841403645146	1.924569635541263	0.7292879876503838	0.0022294262010607658	2.0976717938610983	0.0009817238809663998	0.0037341021157301924	0.001493609055475636	4.4265102328489565	0.002121518821724959	0.25673759529829815	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
31.0	0.3719616331567445	1.0550600813327484	0.4974284811782839	0.07668709909586024	0.010057291287057218	0.7409349542788245	0.2212561443051706	0.01579884140364611	1.9245696355412736	0.7292879876503446	0.002229426201060834	2.09767179386102	0.0009817238809664123	0.0037341021157303064	0.0014936090554756817	4.426510232848981	0.0021215188217251725	0.2567375952982996	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
32.0	0.3719616331567405	1.05506008133285	0.4974284811782837	0.0766870990958603	0.010057291287057393	0.7409349542790017	0.22125614430517443	0.015798841403647075	1.9245696355412845	0.7292879876503056	0.002229426201060902	2.097671793860942	0.000981723880966425	0.0037341021157304205	0.0014936090554757272	4.426510232849006	0.0021215188217253863	0.25673759529830104	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
33.0	0.3719616331567365	1.0550600813329511	0.4974284811782835	0.07668709909586037	0.010057291287057566	0.7409349542791788	0.2212561443051783	0.015798841403648043	1.9245696355412953	0.7292879876502665	0.00222942620106097	2.097671793860864	0.0009817238809664373	0.0037341021157305345	0.001493609055475773	4.426510232849031	0.0021215188217256	0.2567375952983024	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
34.0	0.3719616331567325	1.0550600813330524	0.49742848117828325	0.07668709909586044	0.010057291287057742	0.740934954279356	0.22125614430518212	0.015798841403649008	1.924569635541306	0.7292879876502274	0.002229426201061038	2.097671793860786	0.0009817238809664498	0.0037341021157306486	0.0014936090554758185	4.426510232849056	0.0021215188217258135	0.25673759529830387	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
35.0	0.3719616331567285	1.0550600813331539	0.4974284811782831	0.0766870990958605	0.010057291287057915	0.740934954279533	0.22125614430518595	0.015798841403649972	1.9245696355413169	0.7292879876501882	0.002229426201061106	2.097671793860708	0.0009817238809664624	0.0037341021157307626	0.0014936090554758643	4.426510232849081	0.0021215188217260273	0.2567375952983053	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
36.0	0.3719616331567245	1.0550600813332551	0.49742848117828287	0.07668709909586056	0.01005729128705809	0.7409349542797102	0.2212561443051898	0.015798841403650937	1.9245696355413275	0.7292879876501491	0.0022294262010611743	2.0976717938606297	0.000981723880966475	0.0037341021157308767	0.0014936090554759098	4.426510232849106	0.002121518821726241	0.25673759529830675	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
37.0	0.37196163315672043	1.0550600813333564	0.49742848117828264	0.07668709909586063	0.010057291287058264	0.7409349542798874	0.22125614430519364	0.0157988414036519	1.9245696355413384	0.72928798765011	0.0022294262010612424	2.0976717938605516	0.0009817238809664876	0.0037341021157309908	0.0014936090554759556	4.426510232849131	0.0021215188217264544	0.2567375952983082	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
38.0	0.37196163315671643	1.0550600813334579	0.4974284811782824	0.07668709909586069	0.010057291287058439	0.7409349542800645	0.22125614430519747	0.015798841403652866	1.9245696355413493	0.7292879876500709	0.0022294262010613105	2.097671793860474	0.0009817238809665002	0.003734102115731105	0.001493609055476001	4.4265102328491555	0.0021215188217266682	0.25673759529830964	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
39.0	0.3719616331567124	1.055060081333559	0.4974284811782822	0.07668709909586076	0.010057291287058612	0.7409349542802417	0.2212561443052013	0.01579884140365383	1.92456963554136	0.7292879876500318	0.0022294262010613785	2.0976717938603957	0.0009817238809665127	0.003734102115731219	0.0014936090554760466	4.426510232849179	0.0021215188217268816	0.2567375952983111	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
40.0	0.3719616331567084	1.0550600813336604	0.497428481178282	0.07668709909586081	0.010057291287058788	0.7409349542804188	0.22125614430520515	0.015798841403654798	1.9245696355413708	0.7292879876499927	0.0022294262010614466	2.0976717938603175	0.0009817238809665253	0.003734102115731333	0.0014936090554760924	4.426510232849204	0.0021215188217270954	0.2567375952983125	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
41.0	0.3719616331567044	1.0550600813337616	0.49742848117828176	0.07668709909586088	0.010057291287058963	0.740934954280596	0.22125614430520898	0.015798841403655763	1.9245696355413817	0.7292879876499536	0.0022294262010615147	2.0976717938602394	0.0009817238809665379	0.003734102115731447	0.001493609055476138	4.426510232849229	0.002121518821727309	0.25673759529831397	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
42.0	0.37196163315670033	1.055060081333863	0.4974284811782816	0.07668709909586095	0.010057291287059136	0.740934954280773	0.22125614430521282	0.015798841403656727	1.9245696355413924	0.7292879876499144	0.002229426201061583	2.0976717938601612	0.0009817238809665505	0.003734102115731561	0.0014936090554761837	4.426510232849254	0.0021215188217275226	0.2567375952983154	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
43.0	0.37196163315669634	1.0550600813339643	0.49742848117828137	0.07668709909586101	0.010057291287059312	0.7409349542809502	0.22125614430521667	0.01579884140365769	1.9245696355414033	0.7292879876498753	0.002229426201061651	2.0976717938600835	0.000981723880966563	0.003734102115731675	0.0014936090554762292	4.426510232849279	0.0021215188217277364	0.25673759529831686	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
44.0	0.37196163315669234	1.0550600813340656	0.49742848117828115	0.07668709909586108	0.010057291287059485	0.7409349542811273	0.2212561443052205	0.015798841403658656	1.924569635541414	0.7292879876498363	0.002229426201061719	2.0976717938600054	0.0009817238809665756	0.003734102115731789	0.001493609055476275	4.426510232849304	0.00212151882172795	0.2567375952983183	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
45.0	0.3719616331566883	1.055060081334167	0.4974284811782809	0.07668709909586115	0.01005729128705966	0.7409349542813045	0.22125614430522433	0.01579884140365962	1.9245696355414248	0.7292879876497972	0.002229426201061787	2.097671793859927	0.0009817238809665882	0.0037341021157319032	0.0014936090554763205	4.426510232849329	0.0021215188217281636	0.25673759529831974	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
46.0	0.3719616331566843	1.0550600813342683	0.4974284811782807	0.0766870990958612	0.010057291287059834	0.7409349542814816	0.2212561443052282	0.015798841403660585	1.9245696355414357	0.729287987649758	0.002229426201061855	2.097671793859849	0.0009817238809666008	0.0037341021157320173	0.0014936090554763662	4.4265102328493535	0.0021215188217283774	0.2567375952983212	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
47.0	0.3719616331566803	1.0550600813343696	0.4974284811782805	0.07668709909586127	0.010057291287060009	0.7409349542816588	0.22125614430523202	0.015798841403661553	1.9245696355414463	0.7292879876497189	0.0022294262010619237	2.097671793859771	0.0009817238809666133	0.0037341021157321313	0.0014936090554764118	4.426510232849378	0.002121518821728591	0.25673759529832263	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
48.0	0.37196163315667624	1.055060081334471	0.4974284811782803	0.07668709909586134	0.010057291287060184	0.7409349542818359	0.22125614430523585	0.015798841403662518	1.9245696355414572	0.7292879876496798	0.0022294262010619918	2.0976717938596927	0.0009817238809666257	0.0037341021157322454	0.0014936090554764575	4.426510232849403	0.0021215188217288045	0.2567375952983241	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
49.0	0.37196163315667224	1.0550600813345723	0.4974284811782801	0.0766870990958614	0.010057291287060358	0.7409349542820131	0.2212561443052397	0.015798841403663482	1.924569635541468	0.7292879876496406	0.00222942620106206	2.097671793859615	0.0009817238809666383	0.0037341021157323595	0.001493609055476503	4.426510232849428	0.0021215188217290184	0.2567375952983255	1.0	0.21	0.5	1.0	0.29	1.0	1.0	2.512e-05	1.0
