time	BLL	IL	AL	A	BL	B	DLL	D	ILL	DL	I	ALL	L
88.0	4.5963338238222714e-14	2.89586917520788e-13	-4.0009702014919017e-13	-1.7833746601754277e-15	-9.580181580725489e-12	-3.341223331791613e-11	3.586729955613637e-11	4.991177119263967e-17	2.9746960559703874e-11	3.524536172930082e-14	5.033320700361982e-16	1.758181516168089e-12	-2.8131390274230566e-11
89.0	4.580358399341096e-14	2.821484559050986e-13	-3.8981994613423913e-13	-1.7375660867493188e-15	-9.334100687060563e-12	-3.255399145967921e-11	3.7342270947321335e-11	4.862971464106021e-17	2.993398480713675e-11	3.434003326986573e-14	4.904032528446576e-16	1.7570352268892119e-12	-2.9662616874885594e-11
90.0	4.564382974859921e-14	2.747099942894092e-13	-3.795428721192881e-13	-1.6917575133232098e-15	-9.088019793395637e-12	-3.169574960144229e-11	3.8817242338506294e-11	4.734765808948075e-17	3.0121009054569625e-11	3.343470481043064e-14	4.774744356531171e-16	1.7558889376103346e-12	-3.119384347554062e-11
91.0	4.396701680148194e-14	2.672906930107644e-13	-3.69292269871204e-13	-1.6460669346828666e-15	-8.84257275085148e-12	-3.0839718440382395e-11	3.9564140174093675e-11	4.606890394922025e-17	2.9006628449782444e-11	3.253170835952826e-14	4.645789212112712e-16	1.689488432343617e-12	-3.1552984623242064e-11
92.0	4.216647111026685e-14	2.5987295446734987e-13	-3.5904382668548893e-13	-1.6003859798089674e-15	-8.597177405804858e-12	-2.998386758587733e-11	4.0251655641152884e-11	4.4790419156753626e-17	2.778610403308955e-11	3.162890210944973e-14	4.516861229732213e-16	1.617765731438815e-12	-3.1816529371680424e-11
93.0	4.0365925419051746e-14	2.524552159239353e-13	-3.4879538349977384e-13	-1.5547050249350683e-15	-8.351782060758239e-12	-2.9128016731372275e-11	4.093917110821209e-11	4.3511934364287e-17	2.6565579616396664e-11	3.0726095859371206e-14	4.387933247351714e-16	1.5460430305340127e-12	-3.2080074120118785e-11
94.0	3.8565379727836644e-14	2.450374773805208e-13	-3.3854694031405876e-13	-1.5090240700611693e-15	-8.106386715711617e-12	-2.8272165876867215e-11	4.1626686575271296e-11	4.2233449571820376e-17	2.5345055199703776e-11	2.982328960929268e-14	4.2590052649712146e-16	1.4743203296292106e-12	-3.234361886855715e-11
95.0	3.676483403662155e-14	2.376197388371062e-13	-3.282984971283437e-13	-1.4633431151872703e-15	-7.860991370664996e-12	-2.7416315022362152e-11	4.2314202042330505e-11	4.0954964779353754e-17	2.4124530783010888e-11	2.8920483359214155e-14	4.130077282590716e-16	1.4025976287244085e-12	-3.260716361699551e-11
96.0	3.4964288345406447e-14	2.302020002936917e-13	-3.1805005394262863e-13	-1.4176621603133711e-15	-7.615596025618374e-12	-2.656046416785709e-11	4.300171750938971e-11	3.9676479986887126e-17	2.2904006366318e-11	2.8017677109135626e-14	4.001149300210217e-16	1.3308749278196063e-12	-3.2870708365433874e-11
97.0	3.316374265419135e-14	2.2278426175027712e-13	-3.0780161075691354e-13	-1.371981205439472e-15	-7.370200680571754e-12	-2.570461331335203e-11	4.368923297644892e-11	3.8397995194420504e-17	2.1683481949625114e-11	2.71148708590571e-14	3.8722213178297185e-16	1.2591522269148042e-12	-3.3134253113872235e-11
98.0	3.136319696297625e-14	2.1536652320686263e-13	-2.9755316757119845e-13	-1.326300250565573e-15	-7.124805335525134e-12	-2.4848762458846966e-11	4.4376748443508126e-11	3.711951040195388e-17	2.0462957532932226e-11	2.6212064608978572e-14	3.7432933354492193e-16	1.1874295260100021e-12	-3.3397797862310596e-11
99.0	2.9562651271761154e-14	2.0794878466344803e-13	-2.8730472438548336e-13	-1.2806192956916739e-15	-6.879409990478512e-12	-2.3992911604341903e-11	4.506426391056733e-11	3.5841025609487254e-17	1.9242433116239338e-11	2.530925835890005e-14	3.6143653530687206e-16	1.1157068251051998e-12	-3.366134261074896e-11
100.0	2.7762105580546052e-14	2.0053104612003349e-13	-2.7705628119976827e-13	-1.2349383408177748e-15	-6.634014645431891e-12	-2.3137060749836843e-11	4.575177937762654e-11	3.456254081702063e-17	1.802190869954645e-11	2.4406452108821524e-14	3.485437370688222e-16	1.0439841242003978e-12	-3.3924887359187324e-11
