time	extracellular	cytosol	intravesicular	EC	Z	A	Y	GP	v0	v1	beta	Vm2	K2	Vm3	m	Ka	Ky	Kz	Kf	K	V4	Vm5	n	K5	Kd	epsilon	Vpm1	gamma	Ka5	K1	Ka6	Vpm2	alpha	G	Ka1	Kp2	Ka2	p	vin	R2	R3	Rkf	Rkz	R4	R5	R6	R7	R8
30.0	1.0	1.0	1.0	1000.0	0.6847391675688935	0.25404162047993484	0.5537151816183958	0.9927358047130633	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.874704440200343	8.336657598226113	0.5537151816183958	6.847391675688935	1.0	1.629036920809779	0.025404162047993485	2.9677439085978627	2.9980056857506803
31.0	1.0	1.0	1.0	1000.0	0.3347631821542372	0.6345998165852095	1.4094398143332365	0.18479169626175518	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.508464197875248	6.008909519957	1.4094398143332365	3.347631821542372	1.0	2.8346946558346917	0.06345998165852094	3.4104683012130166	2.1412583501146276
32.0	1.0	1.0	1.0	1000.0	0.19274529735087764	0.710149782818159	1.439404970654412	0.1590646689456774	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.7274857675803155	2.5226640535605886	1.439404970654412	1.9274529735087764	1.0	0.5144858032294252	0.0710149782818159	1.60494818793505	2.026186780532405
33.0	1.0	1.0	1.0	1000.0	0.15065984055511208	0.5800016833473833	1.217260916114611	0.3163752137952768	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.1650471327653635	1.5983673284681534	1.217260916114611	1.5065984055511208	1.0	0.14898379738405945	0.05800016833473834	1.406340692983567	2.5074456185995397
34.0	1.0	1.0	1.0	1000.0	0.1399786629014906	0.4066618833552347	0.9068525518537475	0.5867597614718779	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	3.9725637916664467	1.309558128558633	0.9068525518537475	1.3997866290149061	1.0	0.06290215175969012	0.04066618833552347	1.2756192327724312	2.819482621852018
35.0	1.0	1.0	1.0	1000.0	0.3113377204502955	0.24623439615307363	0.5350956930934266	0.9015837587610842	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.438891423940746	3.4161435310789723	0.5350956930934266	3.113377204502955	1.0	0.4604336817836214	0.024623439615307365	1.733251942513021	2.9705218139637206
36.0	1.0	1.0	1.0	1000.0	0.690892377578028	0.26054025303229655	0.5837604021279325	0.9929480053457073	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.87688071818129	8.719162503075484	0.5837604021279325	6.908923775780281	1.0	1.7143676089646647	0.026054025303229658	2.984345864316499	2.998064319266845
37.0	1.0	1.0	1.0	1000.0	0.3208669191148261	0.6512937640520459	1.4259201512780693	0.17406683690842173	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	5.468817741313266	5.670928094545384	1.4259201512780693	3.208669191148261	1.0	2.6163877894718475	0.0651293764052046	3.133221955474495	2.0959141510059167
38.0	1.0	1.0	1.0	1000.0	0.18994688480840058	0.7061329280591739	1.432067818901769	0.16315920242876822	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.697911553494636	2.458284371918499	1.432067818901769	1.8994688480840058	1.0	0.48300285451831787	0.0706132928059174	1.5893895602878858	2.0460062313826013
39.0	1.0	1.0	1.0	1000.0	0.1493377274419071	0.5725645512337939	1.2045916288547858	0.32676464073212097	2.0	2.0	0.5	6.0	0.1	20.0	2.0	0.2	0.2	0.5	1.0	10.0	2.0	30.0	4.0	1.0	0.4	0.1	1.5	9.0	0.5	0.1	0.5	0.6	9.0	10000.0	10000.0	0.2	10000.0	2.0	3.0	4.142515891571581	1.5706912255691619	1.2045916288547858	1.493377274419071	1.0	0.14115916275192503	0.057256455123379395	1.400238915559664	2.526740061140304
