time	cell	C	M	X	MI	XI	V1	V3	VM1	VM3	Kc	reaction1	reaction2	reaction3	reaction4	reaction5	reaction6	reaction7
20.0	1.0	0.46053738831544166	0.07700112618326937	9.006085547127353E-4	0.9229988738167256	0.999099391445276	1.438374166121061	0.07700112618326937	3.0	1.0	0.5	0.025	0.004605373883154417	2.1578129078360185E-4	1.43062429590729	1.408537841501862	0.0766176923975341	0.07631488738508432
21.0	1.0	0.48057276221787565	0.10345123262292406	0.001288504690153051	0.8965487673770703	0.9987114953098369	1.4702818008045877	0.10345123262292406	3.0	1.0	0.5	0.025	0.0048057276221787565	3.092558688840637E-4	1.4621276007545883	1.4308444927862012	0.1029358891546748	0.10244921119091119
22.0	1.0	0.5002887208358431	0.14051300098657338	0.0019251535134744125	0.8594869990134206	0.9980748464865167	1.500432956250274	0.14051300098657338	3.0	1.0	0.5	0.025	0.005002887208358431	4.627875591467136E-4	1.4917547866655225	1.4484582137049593	0.13981258963901166	0.13899717238965187
23.0	1.0	0.51960613456888	0.1908626739894128	0.0030245788429886034	0.8091373260105803	0.9969754211569996	1.5288436886129124	0.1908626739894128	3.0	1.0	0.5	0.025	0.005196061345688801	7.281189096190271E-4	1.5194543408962038	1.461707864764445	0.1899102420736228	0.18845717028696773
24.0	1.0	0.5383661829088026	0.25651557310049206	0.005094463204904358	0.7434844268994996	0.9949055367950816	1.555422908902897	0.25651557310049206	3.0	1.0	0.5	0.025	0.005383661829088025	0.0012279964266933695	1.5450324261286192	1.471321019581813	0.2552328740671279	0.2523394806387144
25.0	1.0	0.5561931297131509	0.3383354798439754	0.00966962445957092	0.661664520156015	0.9903303755404169	1.579805191113692	0.3383354798439754	3.0	1.0	0.5	0.025	0.0055619312971315095	0.0023334965370018514	1.5679566140306942	1.4781554763771914	0.33663586588584476	0.32957982279028813
26.0	1.0	0.5719311856020116	0.43540170039332504	0.022863864013553194	0.5645982996066665	0.977136135986435	1.6006564412457323	0.43540170039332504	3.0	1.0	0.5	0.025	0.005719311856020116	0.005522836594348124	1.586605693180376	1.4829700930007725	0.4331850947495666	0.41027805767412656
27.0	1.0	0.5812479783019563	0.5428863150077917	0.06773073793626769	0.45711368499219907	0.9322692620637204	1.6127141690885087	0.5428863150077917	3.0	1.0	0.5	0.025	0.005812479783019563	0.016369433210211892	1.5952648463194183	1.4863110287763013	0.5399902085366778	0.4656266377746546
28.0	1.0	0.5719378018552779	0.6453042647626783	0.18190374348574917	0.35469573523731207	0.8180962565142391	1.600665078324652	0.6453042647626783	3.0	1.0	0.5	0.025	0.005719378018552779	0.04393942525397361	1.578414813426896	1.4884669370840784	0.6413842842035667	0.4866241309383371
29.0	1.0	0.5261445907650336	0.7067726761031414	0.3682641018633434	0.29322732389684936	0.6317358981366455	1.5382177000205326	0.7067726761031414	3.0	1.0	0.5	0.025	0.005261445907650336	0.08869453641247468	1.5124283511453005	1.4894629279097065	0.7012227088547779	0.4933023294029082
