time	compartment	Enz	Ts	Tt	To	Tomax	Tex	e_val	f_val	Ts_norm	To_norm	Tt_norm	Enz_norm	Enzyme_synthesis	Enzyme_dilution	tryptophan_synthesis	tryptophan_consumption	tryptophan_dilution
20.0	1.0	0.27513720890145665	0.07412414339590337	13.535309133697243	13.46118499030134	100.0	0.14	0.9	380.0	9.03952968242724E-4	0.1641607925646505	0.16506474553289321	0.27513720890145665	0.015101833928834725	0.0027513720890145667	6.765378992814969	6.760088921541078	7.412414339590338E-4
21.0	1.0	0.28742158584789285	0.07873727437568098	13.539900266937032	13.46116299256135	100.0	0.14	0.9	380.0	9.602106631180608E-4	0.16416052429952865	0.16512073496264673	0.28742158584789285	0.015092695293013646	0.0028742158584789284	7.06740148417008	7.061961353396102	7.873727437568099E-4
22.0	1.0	0.2995745383114351	0.08345620541459635	13.544596695802191	13.461140490387596	100.0	0.14	0.9	380.0	0.0010177586026170287	0.16416024988277556	0.16517800848539257	0.2995745383114351	0.01508335555841802	0.002995745383114351	7.3661880912653706	7.3605907914883515	8.345620541459635E-4
23.0	1.0	0.31159717088010075	0.08828431384972682	13.549401781530145	13.461117467680419	100.0	0.14	0.9	380.0	0.0010766379737771564	0.1641599691180539	0.16523660709183105	0.31159717088010075	0.015073808616911958	0.0031159717088010074	7.661765883955927	7.656010889977396	8.828431384972683E-4
24.0	1.0	0.32349057117659963	0.09322495743780343	13.554318865871673	13.46109390843387	100.0	0.14	0.9	380.0	0.0011368897248512613	0.16415968181016916	0.16529657153502042	0.32349057117659963	0.015064048436189824	0.0032349057117659966	7.954161512196526	7.9482454573787065	9.322495743780343E-4
25.0	1.0	0.3352558098120193	0.09828164568163918	13.559351441600404	13.461069795918764	100.0	0.14	0.9	380.0	0.0011985566546541364	0.16415938775510688	0.165357944409761	0.3352558098120193	0.015054068722908754	0.0033525580981201932	8.243401203337319	8.237319250489247	9.828164568163919E-4
26.0	1.0	0.34689394032673815	0.10345803805284194	13.564503150744013	13.46104511269117	100.0	0.14	0.9	380.0	0.0012616833908883163	0.16415908674013624	0.16542077013102455	0.34689394032673815	0.01504386292900067	0.0034689394032673816	8.529510760531984	8.523257343641902	0.0010345803805284193
27.0	1.0	0.35840599911729626	0.10875785526192312	13.569777696277468	13.461019841015545	100.0	0.14	0.9	380.0	0.0013263153080722333	0.16415877854897007	0.1654850938570423	0.35840599911729626	0.015033424429267478	0.003584059991172963	8.812515561737634	8.806080024236346	0.0010875785526192313
28.0	1.0	0.36979300537960874	0.1141852506815443	13.575179211775215	13.46099396109367	100.0	0.14	0.9	380.0	0.0013925030570920037	0.16415846294016673	0.16555096599725871	0.36979300537960874	0.015022745793113372	0.0036979300537960877	9.09244055424784	9.085822013752134	0.001141852506815443
29.0	1.0	0.3810559609949679	0.1197442898672213	13.580711743413753	13.460967453546532	100.0	0.14	0.9	380.0	0.0014602962178929427	0.16415813967739673	0.16561843589528966	0.3810559609949679	0.015011819813125226	0.003810559609949679	9.369310257173842	9.362504168326739	0.001197442898672213
30.0	1.0	0.3921958504484803	0.12543926990617632	13.58637956779775	13.460940297891574	100.0	0.14	0.9	380.0	0.00152974719397776	0.16415780851087286	0.1656875557048506	0.3921958504484803	0.015000638879302508	0.0039219585044848035	9.643148755992682	9.636150390082017	0.0012543926990617631
31.0	1.0	0.4032136407248762	0.1312745328073079	13.592187006239861	13.460912473432554	100.0	0.14	0.9	380.0	0.0016009089366744865	0.16415746918820187	0.16575837812487634	0.4032136407248762	0.014989195349198702	0.004032136407248762	9.913979701967328	9.906778201062787	0.0013127453280730788
32.0	1.0	0.4141102811896449	0.13725482779734977	13.598138785329377	13.460883957532028	100.0	0.14	0.9	380.0	0.0016738393633823141	0.1641571214333174	0.16583096079669973	0.4141102811896449	0.014977480841136844	0.004141102811896449	10.181826304826131	10.17441534445755	0.0013725482779734976
33.0	1.0	0.4248867034532172	0.14338501412248703	13.604239741151034	13.460854727028547	100.0	0.14	0.9	380.0	0.0017485977332010612	0.16415676496376277	0.16590536269696382	0.4248867034532172	0.014965486822134414	0.004248867034532172	10.446711332656289	10.439085008478335	0.0014338501412248703
34.0	1.0	0.43554382123283136	0.14967016523031054	13.610494922970219	13.460824757739909	100.0	0.14	0.9	380.0	0.0018252459174428115	0.16415639948463304	0.16598164540207583	0.43554382123283136	0.014953204408064674	0.0043554382123283135	10.708657107131351	10.700810371663403	0.0014967016523031054
35.0	1.0	0.44608253019709015	0.15611558290343483	13.616909607299275	13.46079402439584	100.0	0.14	0.9	380.0	0.0019038485719931077	0.16415602468775414	0.16605987325974725	0.44608253019709015	0.014940624341138718	0.004460825301970901	10.967685499315568	10.959614686797314	0.0015611558290343484
36.0	1.0	0.4565037078016482	0.16272666860881063	13.623489169860264	13.460762501251454	100.0	0.14	0.9	380.0	0.0019844715684001297	0.16415564025916407	0.1661401118275642	0.4565037078016482	0.014927737245999537	0.004565037078016482	11.223817927170476	11.21551588920432	0.0016272666860881063
37.0	1.0	0.46680821312964765	0.1695089218016165	13.63023908389701	13.460730162095393	100.0	0.14	0.9	380.0	0.0020671819731904453	0.1641552458792121	0.16622242785240257	0.46680821312964765	0.014914533637120014	0.004668082131296477	11.47707535166454	11.468526996259046	0.0016950892180161651
38.0	1.0	0.476996886688008	0.17646856669878627	13.637165543960101	13.460696977261316	100.0	0.14	0.9	380.0	0.002152055691448613	0.16415484118611362	0.1663068968775622	0.476996886688008	0.0149010027052895	0.00476996886688008	11.727478262898543	11.718678683204603	0.0017646856669878627
