RA	cyp26_mRNA	CYP26	FGF	FGF_mRNA	Values[vs1]	Values[rho]	Values[alpha2]	Values[alpha1]
0.19883620082813944	6.998726407267934	24.995448444821438	0.754376911645164	1.5	4.97	2.5925663331240467	0.429997058578335	0.16585768822361732
0.19883619475920716	6.998726450934477	24.995449200325293	0.754376941050201	1.5	4.97	2.5925664567329387	0.42999706813212996	0.1658576840008943
0.19883618990154234	6.998726485901277	24.9954498053095	0.7543769645971857	1.5	4.97	2.59256655569242	0.42999707578262386	0.16585768062096315
0.19883618602167372	6.998726513901906	24.99545028976864	0.7543769834547154	1.5	4.97	2.5925666348309524	0.4299970819094981	0.16585767792137615
0.19883618290699212	6.998726536323985	24.99545067770827	0.7543769985540041	1.5	4.97	2.5925666982850823	0.42999708681530713	0.16585767575420118
0.19883618041145118	6.998726554278617	24.99545098835342	0.7543770106446304	1.5	4.97	2.5925667491116005	0.42999709074359177	0.16585767401782023
0.19883617841635695	6.998726568657492	24.995451237132464	0.7543770203279068	1.5	4.97	2.592566789779366	0.42999709388972035	0.16585767262964676
0.19883617681800328	6.998726580172925	24.995451436369006	0.7543770280827413	1.5	4.97	2.5925668223544474	0.4299970964092918	0.1658576715175228
0.19883617553640787	6.998726589394827	24.995451595923324	0.754377034292785	1.5	4.97	2.5925668484582873	0.42999709842695555	0.16585767062579715
0.19883617451093324	6.998726596779213	24.99545172368568	0.7543770392655667	1.5	4.97	2.5925668693528143	0.42999710004262875	0.16585766991227865
0.19883617369051254	6.998726602691094	24.99545182597128	0.7543770432468277	1.5	4.97	2.592566886074829	0.4299971013361536	0.1658576693414353
0.19883617303287832	6.998726607423376	24.995451907847713	0.7543770464335595	1.5	4.97	2.59256689946993	0.4299971023715333	0.16585766888385775
0.19883617250291669	6.9987266112133755	24.995451973420646	0.7543770489852241	1.5	4.97	2.5925669102323936	0.4299971032005775	0.16585766851511394
0.19883617208365245	6.998726614249533	24.995452025951604	0.7543770510302129	1.5	4.97	2.5925669187983567	0.4299971038650011	0.16585766822339262
0.1988361717440056	6.998726616681366	24.995452068026182	0.7543770526675398	1.5	4.97	2.5925669256998094	0.4299971043969741	0.16585766798706858
0.19883617146581184	6.998726618629866	24.995452101737534	0.7543770539784604	1.5	4.97	2.5925669312934834	0.42999710482289655	0.16585766779350317
0.19883617125764358	6.998726620190793	24.995452128745338	0.7543770550310145	1.5	4.97	2.5925669356194283	0.42999710516487477	0.16585766764866106
0.19883617109129859	6.998726621440681	24.995452150371438	0.7543770558738853	1.5	4.97	2.5925669390797426	0.42999710543872627	0.16585766753291933
0.1988361709518565	6.998726622441742	24.995452167691457	0.7543770565479503	1.5	4.97	2.5925669419167803	0.4299971056577323	0.16585766743589642
