Values[V]	Values[m]	Values[h]	Values[n]	Values[V_neg]	Values[E]	Values[i_Na]	Values[i_K]	Values[i_L]	Values[V_Na]	Values[V_K]	Values[V_L]	Values[alpha_m]	Values[beta_m]	Values[auxiliary alpha_h]	Values[beta_h]	Values[alpha_n]	Values[beta_n]
-0.0036240922254636276	0.05295510501857524	0.5959950195019375	0.3177323806744128	0.0036240922254636276	-75.00362409222546	1.2213257996854254	-4.4041367400035485	3.182812772332361	-115.0	12.0	-10.613	0.223619588970112	3.9991947272410266	0.06998731682637035	0.047442248301317165	0.058209946365794164	0.12499433748415793
-0.0036253158935206304	0.052955114471304805	0.5959949043111469	0.3177323945152038	0.0036253158935206304	-75.00362531589352	1.2213262046747306	-4.404137956365424	3.1828124052319438	-115.0	12.0	-10.613	0.2236196078346656	3.999194455369545	0.06998731254430829	0.047442253831254694	0.05820995051098934	0.12499433557226322
-0.0036254961994162563	0.05295511702508826	0.5959947992937968	0.31773240773814765	0.0036254961994162563	-75.00362549619942	1.221326164252799	-4.404138755660927	3.1828123511401745	-115.0	12.0	-10.613	0.2236196106143331	3.9991944153096375	0.06998731191335204	0.04744225464608383	0.05820995112177848	0.12499433529054803
-0.0036249465416084417	0.05295511454436928	0.5959947067979153	0.3177324181503152	0.0036249465416084417	-75.0036249465416	1.2213258089042334	-4.40413913128984	3.1828125160375174	-115.0	12.0	-10.613	0.2236196021405895	3.999194537431219	0.06998731383680569	0.04744225216209854	0.05820994925980378	0.12499433614934943
-0.0036239886235800204	0.0529551090512555	0.5959946276226319	0.31773242478035313	0.0036239886235800204	-75.00362398862357	1.221325276760269	-4.404139147428971	3.1828128034129257	-115.0	12.0	-10.613	0.22361958737294427	3.999194750259033	0.06998731718891125	0.047442247833124916	0.05820994601484114	0.12499433764602853
-0.003622896171941555	0.05295510233787156	0.5959945612230868	0.3177324276493882	0.003622896171941555	-75.00362289617195	1.2213246877948751	-4.404138905680173	3.1828131311484174	-115.0	12.0	-10.613	0.22361957053127637	3.999194992977199	0.06998732101179933	0.04744224289617441	0.058209942314143906	0.12499433935290691
-0.0036218729523918884	0.05295509578526937	0.5959945062852999	0.3177324273224639	0.0036218729523918884	-75.0036218729524	1.2213241327065956	-4.404138512133901	3.182813438114282	-115.0	12.0	-10.613	0.22361955475691878	3.9991952203135663	0.06998732459241917	0.04744223827209438	0.05820993884797164	0.12499434095161507
-0.0036210456918593856	0.05295509029667613	0.5959944610477087	0.3177324246600852	0.0036210456918593856	-75.00362104569186	1.221323669034088	-4.404138060996784	3.182813686292442	-115.0	12.0	-10.613	0.22361954200354375	3.9991954041122577	0.0699873274873068	0.047442234533582386	0.058209936045613725	0.12499434224415114
-0.0036204709430563376	0.05295508632629494	0.5959944235480676	0.3177324206416862	0.0036204709430563376	-75.00362047094306	1.2213233235819612	-4.404137627322418	3.1828138587170827	-115.0	12.0	-10.613	0.2236195331429896	3.999195531808525	0.06998732949856347	0.04744223193620818	0.058209934098643286	0.1249943431421555
-0.003620148422384706	0.052955083950000856	0.5959943919187558	0.3177324161639929	0.003620148422384706	-75.00362014842239	1.2213230977757943	-4.404137260725381	3.1828139554732844	-115.0	12.0	-10.613	0.22361952817088399	3.9991956034653717	0.0699873306271815	0.047442230478690006	0.05820993300609955	0.12499434364607125
