NFkB/IkB_alpha	NFkB{nucleus}	IkB_alpha{nucleus}	IKKa	IkB_alpha{default}	IKKn	NFkB{default}	mRNAIKBA	mRNAA20	A20{default}	IKKi	IKKa/IKBa	NFkB/Ikb_alpha/IKKa	NFkB:IkB_alpha
5.904760398233828e-12	5.907423581631439e-05	7.432968630449715e-10	1.4602364282774124e-05	8.777164038130794e-09	0.0001964386032040256	0.00011373356327829692	8.421220444002345e-10	8.421220444002345e-10	9.158604883010772e-09	6.779566483628724e-07	1.5029631665959617e-13	7.100501864459094e-06	0.05986735108651306
6.4370656611337865e-12	6.050607245458505e-05	7.854247168222592e-10	1.4906955995066715e-05	9.17714319129706e-09	0.00019842034972757867	0.00011536279010596183	8.716734647420461e-10	8.716734647420461e-10	9.584208467557219e-09	7.000022082801871e-07	1.6121406823786358e-13	7.2655088983678054e-06	0.05986527048521737
7.01081143341369e-12	6.195835631267911e-05	8.294119132591997e-10	1.5214298538999984e-05	9.590514329526694e-09	0.0002003969009006656	0.00011700446861897774	9.019341232697523e-10	9.019341232697523e-10	1.0024646477531166e-08	7.225038965770346e-07	1.727841294831847e-13	7.432215896281534e-06	0.059863171642820075
7.628278654759042e-12	6.343123860611375e-05	8.753134964085682e-10	1.5524381259368442e-05	1.001755646253539e-08	0.00020236827045209415	0.00011865873992346424	9.329137752831613e-10	9.329137752831613e-10	1.0480256864469083e-08	7.45465824024555e-07	1.8503384706875494e-13	7.600615924627579e-06	0.05986105439490506
8.292361196946258e-12	6.492487796291041e-05	9.231889156602615e-10	1.583719360940124e-05	1.0458559484604774e-08	0.00020433447195608226	0.00012032574062640944	9.646225024620507e-10	9.646225024620507e-10	1.0951398931870528e-08	7.688920310815866e-07	1.9799480325041247e-13	7.770702162421602e-06	0.059858918579960146
9.00609517550236e-12	6.643943504264634e-05	9.730988023601542e-10	1.61527250875291e-05	1.0913816312442276e-08	0.00020629551894522688	0.00012200560612690073	9.970704698930476e-10	9.970704698930476e-10	1.1438437525530394e-08	7.927865390811532e-07	2.1169967404516156e-13	7.94246780319301e-06	0.05985676403726019
9.7724931174408e-12	6.797507064064633e-05	1.0251038341529188e-09	1.647096521510613e-05	1.1383620115202816e-08	0.00020825142495030477	0.00012369847177568652	1.030267840465677e-09	1.030267840465677e-09	1.1941737463498673e-08	8.171533682644142e-07	2.26181122308981e-13	8.115906020431437e-06	0.059854590606121284
1.0594734501105632e-11	6.953194786625011e-05	1.0792660398423502e-09	1.679190356200727e-05	1.1868267497170053e-08	0.00021020220345454178	0.00012540447154284976	1.0642248732305653e-09	1.0642248732305653e-09	1.2461669936008757e-08	8.4199651705981e-07	2.414730695808945e-13	8.291010007288437e-06	0.059852398126757696
1.1476165756171517e-11	7.111023214281241e-05	1.1356487993913662e-09	1.7115529746628296e-05	1.2368058497756381e-08	0.0002121478678936125	0.00012712373801780793	1.0989519233994423e-09	1.0989519233994423e-09	1.2998612505477431e-08	8.673199620830622e-07	2.576106960829706e-13	8.46777297657748e-06	0.05985018644028185
1.2420300263643723e-11	7.271009120770285e-05	1.1943168439220083e-09	1.7441833435885804e-05	1.2883296591502933e-08	0.00021408843165564057	0.00012885640240931296	1.134459442345139e-09	1.134459442345139e-09	1.3552949106504877e-08	8.931276581371733e-07	2.7463044072032304e-13	8.64618816077396e-06	0.05984795538870434
1.3430903256124261e-11	7.43316933096699e-05	1.2553353480886144e-09	1.7770804294301943e-05	1.3414285693305105e-08	0.00021602390811295395	0.00013060259550217056	1.1707579446080407e-09	1.1707579446080407e-09	1.4125067324917037e-08	9.194235532763774e-07	2.9257019941865394e-13	8.826248816881385e-06	0.059845704814332865
1.4512053893105532e-11	7.59752058908336e-05	1.3187692664615077e-09	1.8102431946777432e-05	1.3961327968766845e-08	0.00021795431064530312	0.00013236244835675075	1.2078579837726751e-09	1.2078579837726751e-09	1.4715356408322584e-08	9.462115998202305e-07	3.114694701398335e-13	9.00794822998931e-06	0.05984343455933271
1.5667899142783107e-11	7.76408008123645e-05	1.3846859646550107e-09	1.8436706126190337e-05	1.4524732515780768e-08	0.00021987965254780488	0.00013413608953554522	1.2457702481130195e-09	1.2457702481130195e-09	1.5324215153922802e-08	9.734957106845803e-07	3.313687779193119e-13	9.191279699166703e-06	0.059841144467469264
