HO*	LOO*	O2*-	Cu(II)ZnSOD	L*	H2O2	LOOH	Values[HO2*]	Values[Cu(I)ZnSOD]
4.5073357096061657e-23	2.3099000689893966e-08	4.1224228855433986e-11	5e-06	5.403506138162665e-12	9.711943161095587e-10	4.097589273768026e-07	4.1224228855433986e-13	5e-06
4.507335699414465e-23	2.3416112155955642e-08	4.1224228773780765e-11	5e-06	5.477498833749158e-12	9.711943141858586e-10	4.1572420686104105e-07	4.1224228773780764e-13	5e-06
4.5073356893063074e-23	2.3730624093238364e-08	4.12242286927969e-11	5e-06	5.550884972726535e-12	9.711943122779276e-10	4.21642402918769e-07	4.12242286927969e-13	5e-06
4.5073356792823293e-23	2.4042516752742636e-08	4.122422861248748e-11	5e-06	5.623659946986889e-12	9.711943103858853e-10	4.275131010974634e-07	4.122422861248748e-13	5e-06
4.5073356693431643e-23	2.4351770385468946e-08	4.1224228532857574e-11	5e-06	5.695819148422314e-12	9.711943085098515e-10	4.33335886944601e-07	4.1224228532857574e-13	5e-06
4.507335659489448e-23	2.4658365242417807e-08	4.122422845391228e-11	5e-06	5.767357968924902e-12	9.71194306649946e-10	4.3911034600765877e-07	4.122422845391228e-13	5e-06
4.507335649721814e-23	2.496228157458971e-08	4.122422837565669e-11	5e-06	5.838271800386748e-12	9.711943048062889e-10	4.4483606383411354e-07	4.122422837565668e-13	5e-06
4.5073356400408984e-23	2.5263499632985153e-08	4.1224228298095865e-11	5e-06	5.9085560346999445e-12	9.711943029789997e-10	4.5051262597144215e-07	4.1224228298095866e-13	5e-06
4.507335630447335e-23	2.5561999668604634e-08	4.122422822123491e-11	5e-06	5.978206063756585e-12	9.711943011681986e-10	4.5613961796712146e-07	4.122422822123491e-13	5e-06
4.507335620940327e-23	2.5857806486103593e-08	4.122422814506744e-11	5e-06	6.0472276753046046e-12	9.711942993737351e-10	4.6171745388362324e-07	4.122422814506743e-13	5e-06
4.5073356115137805e-23	2.6151109699905652e-08	4.1224228069544614e-11	5e-06	6.115665112715713e-12	9.711942975944582e-10	4.6724961256821514e-07	4.1224228069544615e-13	5e-06
4.5073356021735757e-23	2.644172635318063e-08	4.122422799471356e-11	5e-06	6.183475686043759e-12	9.711942958314787e-10	4.727326445730364e-07	4.122422799471356e-13	5e-06
4.507335592920061e-23	2.6729645580181134e-08	4.122422792057707e-11	5e-06	6.250656859940266e-12	9.711942940848622e-10	4.781663006375686e-07	4.122422792057706e-13	5e-06
4.5073355837535874e-23	2.701485651515975e-08	4.122422784713793e-11	5e-06	6.3172060990567524e-12	9.711942923546744e-10	4.83550331501293e-07	4.1224227847137933e-13	5e-06
4.507335574674502e-23	2.729734829236909e-08	4.122422777439895e-11	5e-06	6.3831208680447375e-12	9.711942906409815e-10	4.888844879036911e-07	4.1224227774398954e-13	5e-06
4.5073355656831565e-23	2.7577110046061742e-08	4.122422770236293e-11	5e-06	6.4483986315557415e-12	9.711942889438495e-10	4.941685205842442e-07	4.122422770236293e-13	5e-06
4.507335556779898e-23	2.785413091049031e-08	4.122422763103267e-11	5e-06	6.513036854241284e-12	9.71194287263344e-10	4.994021802824338e-07	4.122422763103266e-13	5e-06
4.5073355479650777e-23	2.8128400019907392e-08	4.122422756041095e-11	5e-06	6.577033000752885e-12	9.711942855995314e-10	5.045852177377412e-07	4.122422756041094e-13	5e-06
4.5073355392305064e-23	2.8400172144436202e-08	4.122422749043217e-11	5e-06	6.6404465174844705e-12	9.711942839508655e-10	5.097225260462855e-07	4.1224227490432167e-13	5e-06
4.507335530587794e-23	2.8669086054194612e-08	4.122422742118937e-11	5e-06	6.70319311740434e-12	9.711942823195384e-10	5.148070733645724e-07	4.122422742118936e-13	5e-06
4.5073355220310233e-23	2.8935325846382775e-08	4.122422735263512e-11	5e-06	6.7653157565472566e-12	9.71194280704433e-10	5.198423846550641e-07	4.122422735263512e-13	5e-06
4.5073355135604975e-23	2.9198882129880698e-08	4.122422728477186e-11	5e-06	6.826812243644688e-12	9.711942791056063e-10	5.248282392040646e-07	4.122422728477185e-13	5e-06
4.507335505176488e-23	2.9459746408972222e-08	4.1224227217601756e-11	5e-06	6.887680596355795e-12	9.711942775231097e-10	5.297644336317032e-07	4.1224227217601747e-13	5e-06
4.507335496879241e-23	2.971791108334501e-08	4.1224227151126775e-11	5e-06	6.947919041267429e-12	9.711942759569892e-10	5.34650781891935e-07	4.1224227151126774e-13	5e-06
