calcium concentration	Values[n]	Values[h]	Values[V]	Values[phik]	Values[phia]	Values[phih]	Values[phif]	Values[phical]	Values[cinf]	Values[ica]	Values[isk]	Values[ibk]	Values[ikdr]	Values[ia]	Values[ik]
0.29111737208293953	0.05960657526302632	0.5122118743888393	-66.18175141484315	0.0021976312766567407	0.009774312228203581	0.7749280893302943	0.0002620426185954968	0.020867393063947297	0.2531725030318968	-4.848820547262694	3.7953147133247924	0.0	2.102502391916909	0.0	5.897817105241701
0.2907243608992164	0.05828228231836043	0.5251118534628023	-66.28233434243937	0.00217568550368605	0.009677438758872685	0.7784172993134335	0.0002573792259038527	0.020696820353764293	0.252661989639478	-4.813349168403648	3.744458675086729	0.0	2.0323418040440955	0.0	5.7768004791308245
0.29033147030598505	0.0569880492312674	0.5375448229018711	-66.37459462752005	0.002155747953024406	0.009589417286325537	0.7815836239373882	0.0002531746936434995	0.02054156208029608	0.2521516255466455	-4.781031920220988	3.697346975638299	0.0	1.966180104026102	0.0	5.6635270796644015
0.2899387457700995	0.055723227320997624	0.5495184078206312	-66.45897690139198	0.0021376725169214026	0.009509606303247289	0.784450920885459	0.00024938933314917956	0.020400559870357812	0.2516414712217513	-4.75165666143493	3.6537685510635622	0.0	1.9037334867105054	0.0	5.557502037774068
0.2895462296469824	0.05448717966253776	0.561040969581085	-66.53589836194368	0.002121327055730289	0.00943742533270002	0.7870408303271154	0.0002459879840399032	0.020272850633883874	0.2511315830943571	-4.725029721954313	3.6135255145222622	0.0	1.8447401065390194	0.0	5.458265621061281
0.28915396144874334	0.05327928111984498	0.5721214670164487	-66.60575040305963	0.0021065918925075866	0.009372348390093316	0.7893729863283251	0.00024293943167366024	0.020157556948595532	0.2506220139017944	-4.700974108566782	3.576432356605186	0.0	1.7889583362621253	0.0	5.365390692867312
0.28876197808643833	0.05209891834570544	0.5827693342506336	-66.66890016836217	0.0020933584905487995	0.009313898233775358	0.7914652092848218	0.00024021590912439296	0.020053878531838747	0.2501128130022993	-4.679327904839112	3.5423151842996634	0.0	1.7361651594336782	0.0	5.278480343733341
0.2883703140893107	0.05094548975307014	0.5929943734349669	-66.72569202729493	0.0020815282896903373	0.009261641301032299	0.7933336803995831	0.0002377926702745562	0.019961084667342924	0.2496040266583955	-4.659942842822058	3.511010999258048	0.0	1.6861546881487717	0.0	5.1971656874068195
0.2879790018033988	0.04981840546175727	0.6028066607944454	-66.77644897406188	0.002071011680414687	0.009215183239767262	0.7949930994376487	0.00023564762287037799	0.01987850746993606	0.2490956982936052	-4.642683026486992	3.4823670149405546	0.0	1.638736797382541	0.0	5.121103812323096
0.2875880715717504	0.04871708722421029	0.6122164645731732	-66.8214739497054	0.002061727097996171	0.009174164959721728	0.7964568270268368	0.0002337610123242701	0.019805535888243995	0.24858786872538552	-4.627423789656903	3.456240012268222	0.0	1.593735867830711	0.0	5.049975880098933
0.28719755189813	0.047640968333289443	0.6212341735616791	-66.86105108922919	0.002053600221244458	0.009138259136913067	0.7977370128130589	0.00023211514855423347	0.019741610356937857	0.24808057637672573	-4.614050673011542	3.432495732704068	0.0	1.5509896292971705	0.0	4.983485362001239
0.2868074695959289	0.046589493514767176	0.6298702350425349	-66.89544689589613	0.002046563262605419	0.009107167114339962	0.7988447107357626	0.00023069416943233658	0.01968621802187991	0.24757385746861768	-4.602458506715393	3.411008307571833	0.0	1.5103480971349341	0.0	4.921356404706767
0.2864178499238184	0.0455621188069065	0.6381351010936424	-66.924911345065	0.0020405543382307806	0.009080616149905555	0.7997899826243855	0.00022948383546526267	0.01963888847151819	0.2470677461953882	-4.592550586895767	3.391659722314657	0.0	1.4716725946898053	0.0	4.8633323170044624
0.28602871670948554	0.04455831142912724	0.6460391822934856	-66.94967892048473	0.00203551690812304	0.009058356968883833	0.8005819912503371	0.00022847135118067084	0.019599189915864637	0.24656227488462498	-4.584237935523943	3.3743393141587896	0.0	1.434834855062037	0.0	4.809174169220826
0.2856400924626267	0.04357754964147879	0.6535928079912917	-66.96996958617464	0.0020313992777838048	0.009040161583908607	0.8012290838863078	0.00022764520940639287	0.019566725761659333	0.24605747414321666	-4.577438634484624	3.35894330156243	0.0	1.399716195924236	0.0	4.758659497486666
