pEGFR	pAkt	EGFR	S6	EGF_EGFR	Akt	pS6	pEGFR_Akt	pAkt_S6	EGF	Values[pEGFR_total]	Values[pAkt_total]	Values[pS6_total]
131.93545400887092	0.0001349351710135085	66809.2882658071	3.543167399090043	1119.7347314494737	0.04248919313357048	3.9337881643772396e-11	0.0006848819735478903	6.292799073172005e-09	0.26666666666666666	0.023977389639044736	0.00810441574411948	1.9624186654515388e-06
140.41049071540465	0.00015213972596579012	66734.2945548426	3.543167398021987	1172.8266039920563	0.04240777170273226	4.7565475956669956e-11	0.0007490977896051183	7.352627786041186e-09	0.275	0.025517610527375657	0.009137763474154592	2.372862338997676e-06
149.05719939283276	0.0001707672815276876	66657.87389471919	3.543167396820543	1226.3280431863038	0.04232181756453064	5.714983337774835e-11	0.0008164231803858689	8.544486754364853e-09	0.2833333333333333	0.027089030754495234	0.010256582772725247	2.8509898108784807e-06
157.86646007357356	0.000190864934656293	66580.05365047039	3.54316739547494	1280.2042920360077	0.042231317466929284	6.825615115861507e-11	0.0008868242903616693	9.878983709787601e-09	0.2916666666666667	0.02868999289864011	0.011463702861326731	3.4050421494100244e-06
166.82939925692912	0.00021247713567569868	66500.85999062685	3.5431673939740627	1334.4224379802306	0.04213626792125924	8.106252185750598e-11	0.0009602601469417413	1.1367054267933269e-08	0.3	0.030318884328366786	0.012761794027674923	4.0439037211584805e-06
175.93739931343168	0.0002356455659444211	66420.3179567312	3.543167392306478	1388.9513090255175	0.04203667490853344	9.57603045133658e-11	0.0010366830765117252	1.3019941366204328e-08	0.30833333333333335	0.03197413891172429	0.014153360277329632	4.777120707416188e-06
185.18210515286677	0.00026040903200148915	66338.45152891843	3.543167390460451	1443.7613757467316	0.041932553568782185	1.1255446991712444e-10	0.001116039120973401	1.4849173877430971e-08	0.31666666666666665	0.0336542382281419	0.01564073297495647	5.614918328484426e-06
194.5554285141873	0.0002868033756321734	66255.28368777897	3.543167388423971	1498.8246588300278	0.04182392787590509	1.3166391908720813e-10	0.0011982684528491735	1.6866544521459398e-08	0.325	0.03535771234813124	0.017226065441660304	6.5682167312164515e-06
204.04955020435764	0.0003148613992744782	66170.83647271154	3.543167386184771	1554.1146418477986	0.04171083030037613	1.533217741965818e-10	0.001283305787193153	1.908408719169066e-08	0.3333333333333333	0.03708314024023713	0.0189113284736306	7.648645502271242e-06
213.65692057465216	0.00034461280615222836	66085.13103696081	3.54316738373035	1609.606188972749	0.04159330146193573	1.7777564133732564e-10	0.001371080788789184	2.1514053809257614e-08	0.3416666666666667	0.03882914985767156	0.0206983067452193	8.868556776447972e-06
223.37025849052387	0.0003760841545038096	65998.18769952428	3.5431673810480016	1665.2754673549036	0.041471389774236776	2.0528784465306751e-10	0.001461518473299556	2.4168890812194764e-08	0.35	0.040594417951175875	0.022588596058564107	1.0241036916670695e-05
233.182549016107	0.00040929882523714793	65910.02599410202	3.543167378124829	1721.0998739011711	0.04134515108322188	2.361356314888894e-10	0.0015545396012565495	2.70612153833025e-08	0.35833333333333334	0.04237766964828591	0.024583601399559247	1.1779916748144045e-05
243.08704001823628	0.0004442770023587106	65820.66471525453	3.5431673749477772	1777.0579662099701	0.04121464830091463	2.706113483329558e-10	0.0016500610638660975	3.020379151395166e-08	0.36666666666666664	0.044177677836234136	0.026684535761008123	1.3499780335418033e-05
253.0772378663004	0.0004810356655044494	65730.1219619244	3.5431673715036514	1833.1293974279229	0.04107995103614912	3.0902258743932116e-10	0.0017479962597713903	3.3609505996661045e-08	0.375	0.045993262380531835	0.02889241969259924	1.5415972296847324e-05
