S1	DNA_111	DNA_110	DNA_011	DNA_001	DNA_100	DNA_010	DNA_1B1B1	DNA_101	DNA_1B11	DNA_1B10	DNA_01B1	DNA_11B1	DNA_000	Values[GAS_siteOccupancy]
9.760316463990927e-11	1.817830800869213e-20	1.8641283290488105e-16	1.8641283290495937e-16	9.54952895399511e-15	9.549528953995105e-15	1.909905784970411e-12	6.5422418729238925e-15	9.320642062934396e-19	1.0903741841862909e-17	1.1184769978683372e-13	1.1184769978689658e-13	1.0903741841862901e-17	9.784036193228291e-11	2.140538077744866e-12
9.760316283725147e-11	1.8179597340403874e-20	1.8641282622627702e-16	1.8641282622621135e-16	9.549528722261351e-15	9.549528722261354e-15	1.9099057390526078e-12	6.542861515335787e-15	9.320641696865687e-19	1.090477414946702e-17	1.1184769577211656e-13	1.1184769577206386e-13	1.0904774149467019e-17	9.784036136499881e-11	2.1405386454924724e-12
9.760316117820726e-11	1.8180784057411576e-20	1.8641282004723804e-16	1.8641282004684985e-16	9.549528508992603e-15	9.549528508992624e-15	1.909905696743002e-12	6.543431842322512e-15	9.320641359963008e-19	1.0905724298897494e-17	1.1184769205217521e-13	1.1184769205186369e-13	1.0905724298897504e-17	9.784036084295903e-11	2.140539167958839e-12
9.760315965186274e-11	1.8181875777127373e-20	1.8641281438657803e-16	1.8641281438603423e-16	9.549528312779825e-15	9.549528312779855e-15	1.909905657854997e-12	6.5439565140706065e-15	9.320641050006135e-19	1.0906598387928103e-17	1.1184768864838996e-13	1.118476886479536e-13	1.090659838792812e-17	9.784036036263749e-11	2.140539648672836e-12
9.760315824739597e-11	1.8182880141021358e-20	1.8641280923520627e-16	1.8641280923485422e-16	9.549528132228683e-15	9.549528132228702e-15	1.9099056221608853e-12	6.5444392026529704e-15	9.320640764795404e-19	1.0907402534134322e-17	1.1184768556056338e-13	1.1184768556028093e-13	1.0907402534134331e-17	9.784035992058064e-11	2.140540091090801e-12
9.76031569543696e-11	1.81838045269668e-20	1.8641280458184815e-16	1.864128045821945e-16	9.54952796599464e-15	9.549527965994618e-15	1.909905589437269e-12	6.54488345350142e-15	9.32064050220948e-19	1.09081426441109e-17	1.1184768278657033e-13	1.118476827868484e-13	1.0908142644110883e-17	9.78403595134615e-11	2.1405404985424463e-12
9.76031557636632e-11	1.8184655485852258e-20	1.8641280038423748e-16	1.8641280038573848e-16	9.549527812906134e-15	9.549527812906046e-15	1.9099055594377634e-12	6.545292415017388e-15	9.32064026039672e-19	1.0908823963009807e-17	1.1184768029958189e-13	1.1184768030078667e-13	1.0908823963009747e-17	9.784035913842362e-11	2.140540873886501e-12
9.760315466930041e-11	1.8185438204881155e-20	1.864127963349467e-16	1.8641279633638985e-16	9.549527672224071e-15	9.549527672223987e-15	1.9099055315632073e-12	6.54566858340403e-15	9.320640038161615e-19	1.0909450649431816e-17	1.1184767786643667e-13	1.118476778675949e-13	1.0909450649431759e-17	9.784035879403146e-11	2.1405412185600508e-12
9.760315366312281e-11	1.8186158547794663e-20	1.8641279239508381e-16	1.8641279239520508e-16	9.549527542900571e-15	9.54952754290057e-15	1.909905505590953e-12	6.546014776827447e-15	9.320639833847829e-19	1.09100273983657e-17	1.1184767546231111e-13	1.1184767546240828e-13	1.0910027398365698e-17	9.784035847773194e-11	2.1405415351182455e-12
9.76031527386748e-11	1.8186821631841808e-20	1.864127883846554e-16	1.8641278838127746e-16	9.54952742412173e-15	9.549527424121943e-15	1.909905481111061e-12	6.546333456387908e-15	9.320639646154208e-19	1.0910558309934755e-17	1.1184767295256944e-13	1.1184767294985795e-13	1.0910558309934895e-17	9.784035818773768e-11	2.140541825350083e-12
9.76031518879168e-11	1.818743184220967e-20	1.8641278469817215e-16	1.8641278469159949e-16	9.549527314810546e-15	9.54952731481095e-15	1.9099054585954523e-12	6.5466267247006015e-15	9.320639473422543e-19	1.0911046887049181e-17	1.1184767064604873e-13	1.1184767064077307e-13	1.0911046887049449e-17	9.784035792084883e-11	2.1405420924575706e-12
9.760315110348448e-11	1.818799332659944e-20	1.8641278165604204e-16	1.8641278164861294e-16	9.549527213984659e-15	9.54952721398511e-15	1.9099054384126178e-12	6.546896571126299e-15	9.32063931413653e-19	1.0911496443938586e-17	1.1184766879406811e-13	1.118476687881052e-13	1.0911496443938885e-17	9.784035767419797e-11	2.1405423393101032e-12
9.760315037907587e-11	1.818851013851777e-20	1.8641277937518205e-16	1.8641277937005537e-16	9.549527120819519e-15	9.549527120819818e-15	1.9099054206299088e-12	6.547144942137733e-15	9.320639167008425e-19	1.0911910223377466e-17	1.1184766749052573e-13	1.1184766748641125e-13	1.0911910223377665e-17	9.784035744557773e-11	2.1405425681166847e-12
9.760314970861945e-11	1.8188985918442574e-20	1.8641277805158722e-16	1.8641277805319953e-16	9.54952703451223e-15	9.549527034512104e-15	1.9099054054398996e-12	6.547373584811187e-15	9.320639030791934e-19	1.0912291135953011e-17	1.1184766689017818e-13	1.1184766689147333e-13	1.0912291135952926e-17	9.784035723273331e-11	2.1405427811337245e-12
9.76031490942897e-11	1.8189423572103698e-20	1.8641277631522026e-16	1.864127763199414e-16	9.549526955484039e-15	9.549526955483719e-15	1.9099053906569256e-12	6.547583911433442e-15	9.320638906006912e-19	1.0912641534465218e-17	1.1184766593747285e-13	1.118476659412634e-13	1.0912641534465007e-17	9.78403570385529e-11	2.1405429754722226e-12
9.760314853050665e-11	1.8189826309450547e-20	1.8641277438941015e-16	1.864127743950365e-16	9.549526882992668e-15	9.549526882992303e-15	1.9099053765218605e-12	6.547777461879173e-15	9.32063879150479e-19	1.0912963984309553e-17	1.1184766480800444e-13	1.1184766481252112e-13	1.0912963984309313e-17	9.784035686089925e-11	2.140543153270845e-12
9.760314801552794e-11	1.8190196958376663e-20	1.864127717814849e-16	1.864127717829653e-16	9.549526816864244e-15	9.54952681686417e-15	1.9099053621874546e-12	6.547955600790936e-15	9.320638686957974e-19	1.0913260758932624e-17	1.118476631240046e-13	1.1184766312519225e-13	1.0913260758932578e-17	9.784035670000965e-11	2.1405433142927213e-12
9.760314754105075e-11	1.8190538157466882e-20	1.8641276943705387e-16	1.864127694350697e-16	9.54952675592937e-15	9.549526755929479e-15	1.9099053492486276e-12	6.5481195850560514e-15	9.320638590651154e-19	1.0913533952297275e-17	1.1184766161397075e-13	1.1184766161237863e-13	1.0913533952297344e-17	9.784035655156691e-11	2.1405434628573473e-12
9.760314710040241e-11	1.8190852165266546e-20	1.86412768195478e-16	1.8641276819573935e-16	9.549526699243785e-15	9.549526699243816e-15	1.9099053384962607e-12	6.5482704901744835e-15	9.320638501123434e-19	1.0913785356177892e-17	1.1184766093665513e-13	1.1184766093686325e-13	1.0913785356177916e-17	9.784035641237972e-11	2.1405436021579088e-12
9.760314669672367e-11	1.8191141074582607e-20	1.8641276661049893e-16	1.864127666102112e-16	9.54952664735936e-15	9.549526647359355e-15	1.909905328236215e-12	6.548409338693594e-15	9.320638419176546e-19	1.091401667407668e-17	1.1184765996552159e-13	1.1184765996529139e-13	1.0914016674076675e-17	9.784035628537798e-11	2.1405437292634313e-12
